image_filename,contour_index,area,perimeter,centroid_x,centroid_y
3,81,182.5,59.55634880065918,937,152
3,82,360.0,108.2842708826065,1043,148
3,83,145.5,61.071067690849304,927,119
3,84,138.5,51.899494767189026,1344,117
3,85,243.5,66.72792172431946,1799,103
3,86,134.5,53.071067690849304,1792,81
3,87,438.0,107.45584344863892,950,78
3,88,2837.0,232.65180122852325,653,93
3,89,142.5,55.55634880065918,766,62
3,90,58.5,34.24264061450958,865,52
3,91,494.5,132.04163002967834,245,51
3,92,838.0,156.42640602588654,11,73
3,93,314.5,75.89949476718903,745,27
3,94,84.0,53.65685415267944,893,18
3,95,190.0,58.485281229019165,1875,11
3,96,583.0,138.91168808937073,93,14
3,97,524.5,105.21320283412933,1637,7
3,98,77.5,45.071067690849304,1546,5
3,99,56.5,40.24264061450958,58,1
1,0,651.5,112.66904628276825,1591,1812
1,1,69.5,33.899494767189026,1543,1769
1,2,430.5,91.69848418235779,1473,1771
1,3,134.5,44.72792196273804,1420,1750
1,4,623.0,110.08326005935669,2645,1737
1,5,58.5,32.24264061450958,141,1685
1,6,107.0,48.14213538169861,1511,1604
1,7,1889.0,200.22539567947388,1132,1617
1,8,287.0,72.62741649150848,2501,1552
1,9,56.0,31.656854152679443,1846,1418
1,10,424.0,108.76955187320709,1823,1400
1,11,72.0,33.65685415267944,2916,1352
1,12,79.5,35.071067690849304,1558,1346
1,13,512.0,95.11269760131836,2135,1233
1,14,131.5,47.071067690849304,942,1138
1,15,475.0,94.76955223083496,384,1118
1,16,228.5,57.69848418235779,429,1043
1,17,147.0,55.31370830535889,1999,1015
1,18,239.5,73.69848418235779,399,998
1,19,96.5,41.899494767189026,691,977
1,20,215.0,61.79898953437805,385,971
1,21,63.0,32.82842707633972,2415,963
1,22,326.5,74.87005710601807,2420,938
1,23,2480.5,228.06601512432098,834,903
1,24,2277.0,195.19595789909363,2221,842
1,25,57.0,30.82842707633972,2008,814
1,26,116.5,45.55634891986847,610,746
1,27,180.0,73.31370830535889,2170,708
1,28,52.0,28.82842707633972,462,652
1,29,73.5,35.899494767189026,2561,623
1,30,112.5,47.899494647979736,2071,440
1,31,280.5,83.55634891986847,1177,174
1,32,60.0,30.485281109809875,494,158
1,33,77.0,35.65685415267944,2457,133
